campaign_id,campaign_type,start_date,end_date
24,Y,21/10/13,20/12/13
25,Y,21/10/13,22/11/13
20,Y,09/07/2013,16/11/13
23,Y,10/08/2013,15/11/13
21,Y,16/09/13,18/10/13
22,X,16/09/13,18/10/13
18,X,08/10/2013,10/04/2013
19,Y,26/08/13,27/09/13
17,Y,29/07/13,30/08/13
16,Y,15/07/13,16/08/13
13,X,19/05/13,07/05/2013
11,Y,22/04/13,06/07/2013
12,Y,22/04/13,24/05/13
10,Y,04/08/2013,05/10/2013
9,Y,03/11/2013,04/12/2013
8,X,16/02/13,04/05/2013
7,Y,02/02/2013,03/08/2013
6,Y,28/01/13,03/01/2013
3,Y,22/12/12,16/02/13
5,Y,01/12/2013,15/02/13
4,Y,01/07/2013,02/08/2013
1,Y,12/12/2012,18/01/13
2,Y,17/12/12,18/01/13
30,X,19/11/12,01/04/2013
29,Y,10/08/2012,30/11/12
28,Y,16/09/12,16/11/12
27,Y,25/08/12,27/10/12
26,X,08/12/2012,21/09/12
